waveform,[R1],[R2],[R3]
Input,16_1,16_2,16_3
delta_t,0.082008,0.082008,0.082008
Frequency,12.5,12.5,12.5
Scaling,3921.568604,3921.568604,3921.568604
,,,
Date        Time,Y[R1],Y[R2],Y[R3]
"07/04/2020 17:27:51,98571",-5.37E+01,-9.14E+01,9.56E+01
"07/04/2020 17:27:52,06772",-5.37E+01,-9.15E+01,9.59E+01
"07/04/2020 17:27:52,14973",-5.40E+01,-9.19E+01,9.63E+01
"07/04/2020 17:27:52,23174",-5.38E+01,-9.21E+01,9.64E+01
"07/04/2020 17:27:52,31374",-5.39E+01,-9.20E+01,9.61E+01
"07/04/2020 17:27:52,39575",-5.39E+01,-9.19E+01,9.63E+01
"07/04/2020 17:27:52,47776",-5.39E+01,-9.17E+01,9.61E+01
"07/04/2020 17:27:52,55977",-5.38E+01,-9.17E+01,9.60E+01
"07/04/2020 17:27:52,64177",-5.35E+01,-9.19E+01,9.60E+01
"07/04/2020 17:27:52,72378",-5.37E+01,-9.16E+01,9.59E+01
"07/04/2020 17:27:52,80579",-5.37E+01,-9.15E+01,9.59E+01
"07/04/2020 17:27:52,88780",-5.37E+01,-9.15E+01,9.60E+01
"07/04/2020 17:27:52,96981",-5.38E+01,-9.16E+01,9.59E+01
"07/04/2020 17:27:53,05181",-5.37E+01,-9.16E+01,9.58E+01
"07/04/2020 17:27:53,13382",-5.35E+01,-9.15E+01,9.58E+01
"07/04/2020 17:27:53,21583",-5.35E+01,-9.14E+01,9.59E+01
"07/04/2020 17:27:53,29784",-5.35E+01,-9.15E+01,9.58E+01
"07/04/2020 17:27:53,37984",-5.37E+01,-9.16E+01,9.59E+01
"07/04/2020 17:27:53,46185",-5.37E+01,-9.15E+01,9.59E+01
"07/04/2020 17:27:53,54386",-5.37E+01,-9.15E+01,9.59E+01
"07/04/2020 17:27:53,62587",-5.38E+01,-9.16E+01,9.60E+01
"07/04/2020 17:27:53,70788",-5.38E+01,-9.17E+01,9.61E+01
"07/04/2020 17:27:53,78988",-5.38E+01,-9.17E+01,9.60E+01
"07/04/2020 17:27:53,87189",-5.37E+01,-9.19E+01,9.61E+01
"07/04/2020 17:27:53,95390",-5.38E+01,-9.19E+01,9.61E+01
"07/04/2020 17:27:54,03591",-5.39E+01,-9.16E+01,9.63E+01
"07/04/2020 17:27:54,11791",-5.38E+01,-9.16E+01,9.60E+01
"07/04/2020 17:27:54,19992",-5.37E+01,-9.16E+01,9.59E+01
"07/04/2020 17:27:54,28193",-5.35E+01,-9.15E+01,9.59E+01
"07/04/2020 17:27:54,36394",-5.37E+01,-9.17E+01,9.59E+01
"07/04/2020 17:27:54,44595",-5.37E+01,-9.15E+01,9.58E+01
"07/04/2020 17:27:54,52795",-5.38E+01,-9.15E+01,9.56E+01
"07/04/2020 17:27:54,60996",-5.35E+01,-9.15E+01,9.58E+01
"07/04/2020 17:27:54,69197",-5.35E+01,-9.15E+01,9.58E+01
"07/04/2020 17:27:54,77398",-5.35E+01,-9.14E+01,9.56E+01
"07/04/2020 17:27:54,85598",-5.35E+01,-9.16E+01,9.59E+01
"07/04/2020 17:27:54,93799",-5.38E+01,-9.15E+01,9.59E+01
"07/04/2020 17:27:55,02000",-5.38E+01,-9.16E+01,9.58E+01
"07/04/2020 17:27:55,10201",-5.38E+01,-9.16E+01,9.58E+01
"07/04/2020 17:27:55,18402",-5.37E+01,-9.19E+01,9.60E+01
"07/04/2020 17:27:55,26602",-5.37E+01,-9.16E+01,9.60E+01
"07/04/2020 17:27:55,34803",-5.37E+01,-9.17E+01,9.61E+01
"07/04/2020 17:27:55,43004",-5.37E+01,-9.15E+01,9.59E+01
"07/04/2020 17:27:55,51205",-5.37E+01,-9.15E+01,9.60E+01
"07/04/2020 17:27:55,59406",-5.37E+01,-9.15E+01,9.59E+01
"07/04/2020 17:27:55,67606",-5.37E+01,-9.15E+01,9.60E+01
"07/04/2020 17:27:55,75807",-5.35E+01,-9.15E+01,9.58E+01
"07/04/2020 17:27:55,84008",-5.35E+01,-9.14E+01,9.58E+01
"07/04/2020 17:27:55,92209",-5.34E+01,-9.15E+01,9.58E+01
"07/04/2020 17:27:56,00409",-5.35E+01,-9.14E+01,9.58E+01
"07/04/2020 17:27:56,08610",-5.34E+01,-9.14E+01,9.56E+01
"07/04/2020 17:27:56,16811",-5.35E+01,-9.14E+01,9.56E+01
"07/04/2020 17:27:56,25012",-5.35E+01,-9.14E+01,9.58E+01
"07/04/2020 17:27:56,33213",-5.37E+01,-9.15E+01,9.59E+01
"07/04/2020 17:27:56,41413",-5.37E+01,-9.15E+01,9.60E+01
"07/04/2020 17:27:56,49614",-5.37E+01,-9.17E+01,9.63E+01
"07/04/2020 17:27:56,57815",-5.38E+01,-9.20E+01,9.63E+01
"07/04/2020 17:27:56,66016",-5.38E+01,-9.20E+01,9.64E+01
"07/04/2020 17:27:56,74216",-5.38E+01,-9.19E+01,9.61E+01
"07/04/2020 17:27:56,82417",-5.38E+01,-9.19E+01,9.64E+01
"07/04/2020 17:27:56,90618",-5.38E+01,-9.19E+01,9.61E+01
"07/04/2020 17:27:56,98819",-5.37E+01,-9.19E+01,9.63E+01
"07/04/2020 17:27:57,07020",-5.37E+01,-9.17E+01,9.61E+01
"07/04/2020 17:27:57,15220",-5.37E+01,-9.17E+01,9.61E+01
"07/04/2020 17:27:57,23421",-5.37E+01,-9.19E+01,9.60E+01
"07/04/2020 17:27:57,31622",-5.37E+01,-9.16E+01,9.60E+01
"07/04/2020 17:27:57,39823",-5.37E+01,-9.17E+01,9.61E+01
"07/04/2020 17:27:57,48023",-5.38E+01,-9.15E+01,9.59E+01
"07/04/2020 17:27:57,56224",-5.35E+01,-9.16E+01,9.63E+01
"07/04/2020 17:27:57,64425",-5.35E+01,-9.16E+01,9.58E+01
"07/04/2020 17:27:57,72626",-5.37E+01,-9.16E+01,9.60E+01
"07/04/2020 17:27:57,80827",-5.37E+01,-9.17E+01,9.61E+01
"07/04/2020 17:27:57,89027",-5.38E+01,-9.17E+01,9.63E+01
"07/04/2020 17:27:57,97228",-5.35E+01,-9.19E+01,9.61E+01
"07/04/2020 17:27:58,05429",-5.39E+01,-9.20E+01,9.64E+01
"07/04/2020 17:27:58,13630",-5.40E+01,-9.21E+01,9.66E+01
"07/04/2020 17:27:58,21830",-5.39E+01,-9.20E+01,9.63E+01
"07/04/2020 17:27:58,30031",-5.39E+01,-9.20E+01,9.65E+01
"07/04/2020 17:27:58,38232",-5.37E+01,-9.21E+01,9.65E+01
"07/04/2020 17:27:58,46433",-5.38E+01,-9.20E+01,9.64E+01
"07/04/2020 17:27:58,54634",-5.37E+01,-9.17E+01,9.63E+01
"07/04/2020 17:27:58,62834",-5.38E+01,-9.19E+01,9.60E+01
"07/04/2020 17:27:58,71035",-5.37E+01,-9.19E+01,9.63E+01
"07/04/2020 17:27:58,79236",-5.35E+01,-9.17E+01,9.60E+01
"07/04/2020 17:27:58,87437",-5.37E+01,-9.17E+01,9.59E+01
"07/04/2020 17:27:58,95637",-5.29E+01,-9.02E+01,9.41E+01
"07/04/2020 17:27:59,03838",-5.34E+01,-9.10E+01,9.50E+01
"07/04/2020 17:27:59,12039",-5.16E+01,-8.39E+01,8.22E+01
"07/04/2020 17:27:59,20240",-3.10E+01,-3.10E+01,1.16E+01
"07/04/2020 17:27:59,28441",1.60E+01,3.13E+01,-3.88E+01
"07/04/2020 17:27:59,36641",1.87E+01,1.53E+01,-1.63E+00
"07/04/2020 17:27:59,44842",-1.42E+01,-2.79E+01,3.25E+01
"07/04/2020 17:27:59,53043",-1.24E+01,-8.67E+00,-2.89E+00
"07/04/2020 17:27:59,61244",1.51E+01,2.61E+01,-2.85E+01
"07/04/2020 17:27:59,69444",1.17E+01,7.67E+00,2.51E+00
"07/04/2020 17:27:59,77645",-1.16E+01,-2.10E+01,2.34E+01
"07/04/2020 17:27:59,85846",-8.04E+00,-3.77E+00,-4.52E+00
"07/04/2020 17:27:59,94047",1.31E+01,2.15E+01,-2.29E+01
"07/04/2020 17:28:00,02248",8.67E+00,4.27E+00,4.27E+00
"07/04/2020 17:28:00,10448",-1.04E+01,-1.82E+01,1.96E+01
"07/04/2020 17:28:00,18649",-5.03E+00,-2.51E-01,-7.54E+00
"07/04/2020 17:28:00,26850",1.27E+01,1.92E+01,-1.91E+01
"07/04/2020 17:28:00,35051",5.28E+00,-1.26E-01,8.04E+00
"07/04/2020 17:28:00,43251",-1.03E+01,-1.57E+01,1.52E+01
"07/04/2020 17:28:00,51452",-1.38E+00,4.27E+00,-1.08E+01
"07/04/2020 17:28:00,59653",1.22E+01,1.63E+01,-1.41E+01
"07/04/2020 17:28:00,67854",1.88E+00,-4.02E+00,1.07E+01
